City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
79,Lompoc,34.6391,-120.4579,87.21,67,1,21.85,clear sky,US
80,Pitimbu,-7.4706,-34.8086,77.59,75,87,15.21,overcast clouds,BR
81,Unity,52.4501,-109.1682,62.26,28,46,16.96,scattered clouds,CA
82,Staryy Nadym,65.6118,72.6842,35.58,97,100,17.63,overcast clouds,RU
83,Hobart,-42.8794,147.3294,49.26,74,40,5.01,scattered clouds,AU
84,Fomboni,-12.28,43.7425,76.26,73,5,19.89,clear sky,KM
85,Balkanabat,39.5108,54.3671,75.99,21,0,14.67,clear sky,TM
86,Pismo Beach,35.1428,-120.6413,89.87,54,1,3.0,clear sky,US
87,Ossora,59.2353,163.0719,51.6,84,100,5.21,light rain,RU
88,Olafsvik,64.8945,-23.7142,48.38,90,100,21.65,moderate rain,IS
89,Saint-Joseph,-21.3667,55.6167,62.98,70,4,5.48,clear sky,RE
90,Hokitika,-42.7167,170.9667,53.35,75,80,8.37,broken clouds,NZ
91,Manhattan,40.7834,-73.9662,76.95,48,1,1.01,clear sky,US
92,Garden City,42.3256,-83.331,79.86,58,40,8.05,scattered clouds,US
93,Arraial Do Cabo,-22.9661,-42.0278,73.26,88,75,4.61,broken clouds,BR
94,San Patricio,28.017,-97.5169,97.52,40,1,8.97,clear sky,US
95,Ushuaia,-54.8,-68.3,42.46,81,40,3.44,light rain,AR
96,Nikolskoye,59.7035,30.7861,40.89,77,100,8.99,overcast clouds,RU
97,Geraldton,-28.7667,114.6,55.81,76,0,11.5,clear sky,AU
98,Bar,49.0772,27.6826,42.64,92,100,13.87,overcast clouds,UA
99,Qaanaaq,77.484,-69.3632,13.3,88,88,7.43,overcast clouds,GL
100,Iqaluit,63.7506,-68.5145,35.33,75,40,13.8,scattered clouds,CA
101,Faanui,-16.4833,-151.75,77.94,75,79,18.19,light rain,PF
102,Cherskiy,68.75,161.3,30.92,57,53,7.27,broken clouds,RU
103,Macau,22.2006,113.5461,82.71,94,40,2.3,scattered clouds,MO
104,Kruisfontein,-34.0033,24.7314,50.88,89,38,6.08,scattered clouds,ZA
105,Mount Gambier,-37.8333,140.7667,46.31,87,75,14.97,broken clouds,AU
106,Mount Isa,-20.7333,139.5,78.57,29,4,8.05,clear sky,AU
107,Camana,-16.6228,-72.7111,60.85,83,69,6.6,broken clouds,PE
108,Cavalcante,-13.7975,-47.4583,77.85,15,4,0.98,clear sky,BR
109,Kota,25.1833,75.8333,76.59,90,78,9.93,broken clouds,IN
110,Mahebourg,-20.4081,57.7,70.09,56,40,6.91,scattered clouds,MU
111,Saldanha,-33.0117,17.9442,57.25,80,88,8.59,overcast clouds,ZA
112,Algiers,36.7525,3.042,71.42,83,40,3.44,scattered clouds,DZ
113,Pokhara,28.2333,83.9833,69.28,88,53,4.09,broken clouds,NP
114,Saint-Augustin,51.226,-58.6502,51.1,49,6,9.33,clear sky,CA
115,Madiun,-7.6298,111.5239,75.42,78,9,9.15,clear sky,ID
116,Khatanga,71.9667,102.5,31.41,98,100,12.77,light snow,RU
117,Bathsheba,13.2167,-59.5167,83.01,69,20,8.05,few clouds,BB
118,Turtas,58.9417,69.1325,35.65,97,100,10.83,light rain,RU
119,Atyrau,47.1167,51.8833,53.62,35,0,11.18,clear sky,KZ
120,Cayenne,4.9333,-52.3333,84.09,78,0,3.0,clear sky,GF
121,Clinton,42.587,-82.9199,78.26,61,20,10.36,few clouds,US
122,Nantucket,41.2835,-70.0995,66.54,68,1,13.8,clear sky,US
123,East London,-33.0153,27.9116,61.2,82,13,9.82,few clouds,ZA
124,Diego De Almagro,-26.3667,-70.05,60.64,45,10,5.21,clear sky,CL
