City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,kavieng,-2.5744,150.7967,84.25,73,22,15.01,PG,2021-09-19 01:18:30
70,bijar,35.8668,47.6051,55.08,45,0,3.47,IR,2021-09-19 01:27:02
71,nikolskoye,59.7035,30.7861,39.09,85,100,6.38,RU,2021-09-19 01:19:43
72,mahebourg,-20.4081,57.7,68.29,94,75,5.75,MU,2021-09-19 01:19:46
73,soavinandriana,-19.1667,46.7333,52.16,89,36,5.66,MG,2021-09-19 01:27:03
74,te anau,-45.4167,167.7167,44.4,93,100,6.51,NZ,2021-09-19 01:20:42
75,lasa,46.6166,10.7002,59.88,93,79,0.98,IT,2021-09-19 01:27:03
76,sakakah,29.9697,40.2064,80.17,22,0,8.48,SA,2021-09-19 01:27:03
77,guerrero negro,27.9769,-114.0611,71.51,74,16,19.48,MX,2021-09-19 01:19:54
78,billings,45.7833,-108.5007,81.16,23,75,14.97,US,2021-09-19 01:22:39
79,tromso,69.6496,18.957,46.42,76,75,11.5,NO,2021-09-19 01:26:39
80,bethel,41.3712,-73.414,73.71,87,40,3.44,US,2021-09-19 01:20:00
81,mikhaylovskoye,51.8239,79.7172,47.16,53,100,11.7,RU,2021-09-19 01:27:03
82,kupang,-10.1667,123.5833,88.38,45,20,20.71,ID,2021-09-19 01:27:04
83,eureka,40.8021,-124.1637,68.2,75,60,4.0,US,2021-09-19 01:23:41
84,carnarvon,-24.8667,113.6333,68.07,42,0,18.41,AU,2021-09-19 01:17:50
85,ilulissat,69.2167,-51.1,21.22,63,0,2.3,GL,2021-09-19 01:14:44
86,egvekinot,66.3167,-179.1667,32.38,81,86,5.39,RU,2021-09-19 01:27:04
87,tarakan,3.3,117.6333,78.3,89,75,2.3,ID,2021-09-19 01:27:04
88,kemijarvi,66.7131,27.4306,40.03,83,100,3.67,FI,2021-09-19 01:27:05
89,balagansk,54.0103,103.0544,52.52,66,31,2.53,RU,2021-09-19 01:27:05
90,luwuk,-0.9516,122.7875,82.06,68,100,4.92,ID,2021-09-19 01:27:05
91,llano de piedra,7.6667,-80.5667,77.79,90,100,1.79,PA,2021-09-19 01:27:05
92,taft,31.7471,54.2088,69.75,14,0,4.61,IR,2021-09-19 01:27:06
93,faanui,-16.4833,-151.75,77.83,75,16,17.65,PF,2021-09-19 01:19:43
94,sioux lookout,50.1001,-91.917,62.98,55,20,10.36,CA,2021-09-19 01:20:24
95,esperance,-33.8667,121.9,60.64,82,100,12.12,AU,2021-09-19 01:19:57
96,rio grande,-32.035,-52.0986,62.94,93,19,8.32,BR,2021-09-19 01:16:57
97,concordia,-31.393,-58.0209,61.59,88,0,9.22,AR,2021-09-19 01:27:06
98,pevek,69.7008,170.3133,31.32,73,100,15.84,RU,2021-09-19 01:20:12
99,ancud,-41.8697,-73.8203,45.93,83,14,3.67,CL,2021-09-19 01:19:48
100,rabo de peixe,37.8,-25.5833,65.71,72,40,8.05,PT,2021-09-19 01:27:06
101,matagami,49.7502,-77.6328,42.91,100,40,4.61,CA,2021-09-19 01:27:06
102,kloulklubed,7.0419,134.2556,81.1,80,100,19.01,PW,2021-09-19 01:20:50
103,cabo san lucas,22.8909,-109.9124,92.61,74,20,8.05,MX,2021-09-19 01:19:02
104,tawala,9.5542,123.7696,82.92,68,76,1.07,PH,2021-09-19 01:27:07
105,zhezkazgan,47.8043,67.7144,46.13,57,32,8.16,KZ,2021-09-19 01:21:19
106,cockburn town,21.4612,-71.1419,82.92,69,0,15.93,TC,2021-09-19 01:19:52
107,marsh harbour,26.5412,-77.0636,83.16,68,11,6.67,BS,2021-09-19 01:20:57
108,qaanaaq,77.484,-69.3632,12.88,74,100,6.33,GL,2021-09-19 01:18:00
109,calvinia,-31.4707,19.776,49.05,60,77,2.48,ZA,2021-09-19 01:27:07
110,luderitz,-26.6481,15.1594,53.29,87,32,6.08,NA,2021-09-19 01:20:09
111,lavrentiya,65.5833,-171.0,39.13,92,100,10.22,RU,2021-09-19 01:27:07
112,palmer,42.1584,-72.3287,71.44,83,40,4.61,US,2021-09-19 01:27:07
113,walvis bay,-22.9575,14.5053,53.1,81,0,5.75,NA,2021-09-19 01:23:23
114,espumoso,-28.7247,-52.8497,64.04,94,6,5.3,BR,2021-09-19 01:27:08
115,kefalos,36.7453,26.9589,73.62,94,75,0.0,GR,2021-09-19 01:27:08
116,saint-philippe,-21.3585,55.7679,71.15,75,100,17.31,RE,2021-09-19 01:17:53
117,chuy,-33.6971,-53.4616,58.05,98,25,6.6,UY,2021-09-19 01:20:48
118,hualmay,-11.0964,-77.6139,61.75,81,74,10.02,PE,2021-09-19 01:21:17
119,roald,62.5833,6.1333,54.09,87,90,5.75,NO,2021-09-19 01:20:25
120,dikson,73.5069,80.5464,34.12,75,10,26.13,RU,2021-09-19 01:18:33
121,ust-kuyga,70.0167,135.6,33.96,71,98,18.66,RU,2021-09-19 01:27:08
122,mau,25.95,83.55,79.29,87,1,1.97,IN,2021-09-19 01:27:09
123,bilibino,68.0546,166.4372,29.3,73,42,6.02,RU,2021-09-19 01:19:57
124,okha,53.5739,142.9478,51.51,62,31,21.79,RU,2021-09-19 01:27:09
125,adamas,36.7333,24.4333,76.42,81,0,7.61,GR,2021-09-19 01:27:09
126,kuna,43.4918,-116.4201,66.4,51,1,8.05,US,2021-09-19 01:27:09
127,kruisfontein,-34.0033,24.7314,51.89,84,0,6.53,ZA,2021-09-19 01:19:52
128,necochea,-38.5473,-58.7368,51.04,84,6,11.05,AR,2021-09-19 01:19:47
129,progreso,21.2833,-89.6667,87.12,79,100,14.07,MX,2021-09-19 01:20:54
130,sao filipe,14.8961,-24.4956,79.16,82,57,5.03,CV,2021-09-19 01:20:52
131,laguna,38.421,-121.4238,78.64,63,1,7.0,US,2021-09-19 01:18:33
132,san francisco,37.7749,-122.4194,72.46,87,40,1.99,US,2021-09-19 01:25:28
133,uravakonda,14.95,77.2667,75.22,76,98,5.5,IN,2021-09-19 01:27:10
134,san patricio,28.017,-97.5169,86.68,61,0,7.47,US,2021-09-19 01:20:37
135,hithadhoo,-0.6,73.0833,83.12,73,100,6.96,MV,2021-09-19 01:19:42
136,avera,33.194,-82.5271,80.47,62,100,2.19,US,2021-09-19 01:19:19
137,ust-omchug,61.15,149.6333,43.21,94,100,4.94,RU,2021-09-19 01:20:55
138,iroquois falls,48.7669,-80.6831,46.54,78,90,2.17,CA,2021-09-19 01:27:10
139,port hardy,50.6996,-127.4199,55.58,88,75,9.22,CA,2021-09-19 01:22:21
140,manoel urbano,-8.8389,-69.2597,79.74,66,87,1.77,BR,2021-09-19 01:27:10
141,benjamin aceval,-24.9667,-57.5667,86.14,49,65,7.38,PY,2021-09-19 01:27:10
142,mlada vozice,49.5331,14.8086,54.1,93,98,6.46,CZ,2021-09-19 01:27:11
143,tuktoyaktuk,69.4541,-133.0374,42.8,100,90,2.3,CA,2021-09-19 01:20:07
144,mahanje,-9.9333,35.3333,61.75,61,11,2.35,TZ,2021-09-19 01:27:11
145,lorengau,-2.0226,147.2712,83.68,75,98,7.05,PG,2021-09-19 01:18:56
146,port lincoln,-34.7333,135.8667,63.3,51,6,25.34,AU,2021-09-19 01:19:40
147,boueni,-12.9025,45.0761,76.98,76,74,20.71,YT,2021-09-19 01:27:11
148,willowmore,-33.2926,23.4895,48.61,69,0,2.28,ZA,2021-09-19 01:27:12
149,yellowknife,62.456,-114.3525,50.52,46,75,18.41,CA,2021-09-19 01:19:42
150,mar del plata,-38.0023,-57.5575,53.62,100,90,8.05,AR,2021-09-19 01:17:06
151,hirara,24.8,125.2833,86.27,74,40,5.75,JP,2021-09-19 01:20:18
152,thinadhoo,0.5333,72.9333,83.05,73,100,4.27,MV,2021-09-19 01:27:12
153,olafsvik,64.8945,-23.7142,45.21,81,100,6.31,IS,2021-09-19 01:19:39
154,haines junction,60.7522,-137.5108,48.15,81,100,1.14,CA,2021-09-19 01:19:58
155,aketi,2.7388,23.7833,69.8,98,100,2.39,CD,2021-09-19 01:27:12
156,san rafael del sur,11.8485,-86.4384,77.97,80,100,9.75,NI,2021-09-19 01:27:12
157,chokurdakh,70.6333,147.9167,34.9,59,37,6.78,RU,2021-09-19 01:20:04
158,praia da vitoria,38.7333,-27.0667,66.76,88,75,8.88,PT,2021-09-19 01:27:13
159,hoa binh,20.8133,105.3383,84.09,87,62,0.76,VN,2021-09-19 01:27:13
160,golfito,8.639,-83.166,76.19,93,100,3.11,CR,2021-09-19 01:27:13
161,koutsouras,35.0339,25.9469,78.08,66,0,2.53,GR,2021-09-19 01:27:13
162,diamantino,-14.4086,-56.4461,82.62,24,0,5.12,BR,2021-09-19 01:20:17
163,morant bay,17.8815,-76.4093,83.82,82,29,6.67,JM,2021-09-19 01:24:31
164,verkhnedneprovskiy,54.9813,33.3457,40.08,93,100,18.21,RU,2021-09-19 01:27:14
165,warrington,53.3925,-2.5802,63.79,87,40,3.0,GB,2021-09-19 01:24:14
166,tanabi,-20.6264,-49.6492,84.42,25,96,1.39,BR,2021-09-19 01:27:14
167,asfi,32.2994,-9.2372,68.67,77,0,12.17,MA,2021-09-19 01:27:14
168,miranda,3.2499,-76.2281,73.53,84,66,5.59,CO,2021-09-19 01:27:15
169,san nicolas,18.1725,120.5953,87.71,79,40,4.61,PH,2021-09-19 01:27:15
170,plettenberg bay,-34.0527,23.3716,57.78,60,0,3.98,ZA,2021-09-19 01:20:54
171,barrow,71.2906,-156.7887,35.62,80,90,13.8,US,2021-09-19 01:19:03
172,jalapa,19.5333,-96.9167,63.52,97,100,2.66,MX,2021-09-19 01:27:15
173,ixtapa,20.7,-105.2,83.43,84,90,3.44,MX,2021-09-19 01:27:15
174,mkushi,-13.6202,29.3939,59.97,84,90,10.92,ZM,2021-09-19 01:27:16
175,saskylakh,71.9167,114.0833,28.38,84,17,2.93,RU,2021-09-19 01:18:46
176,alice springs,-23.7,133.8833,69.35,32,90,16.11,AU,2021-09-19 01:18:18
177,birao,10.2849,22.7882,70.32,95,100,3.47,CF,2021-09-19 01:27:16
178,lodwar,3.1191,35.5973,78.12,63,75,2.44,KE,2021-09-19 01:27:16
179,vao,-22.6667,167.4833,68.97,60,100,15.66,NC,2021-09-19 01:20:40
180,saint anthony,45.0205,-93.218,73.06,49,1,5.99,US,2021-09-19 01:27:16
181,adrar,20.5022,-10.0711,85.66,30,70,16.35,MR,2021-09-19 01:21:02
182,oriximina,-1.7656,-55.8661,80.19,67,52,3.85,BR,2021-09-19 01:27:17
183,mazagao,-0.115,-51.2894,86.05,89,76,5.77,BR,2021-09-19 01:27:17
184,dingle,10.9995,122.6711,83.1,77,19,0.98,PH,2021-09-19 01:19:51
185,kaberamaido,1.7389,33.1594,64.58,95,100,3.02,UG,2021-09-19 01:27:13
186,iqaluit,63.7506,-68.5145,35.33,87,90,3.44,CA,2021-09-19 01:20:27
187,upernavik,72.7868,-56.1549,21.16,62,18,5.97,GL,2021-09-19 01:20:33
188,samalkha,29.2333,77.0167,75.67,89,0,5.39,IN,2021-09-19 01:27:17
189,teguise,29.0605,-13.564,70.02,78,0,8.05,ES,2021-09-19 01:27:17
190,alofi,-19.0595,-169.9187,84.09,70,4,11.5,NU,2021-09-19 01:21:20
191,peniche,39.3558,-9.3811,64.11,85,5,21.77,PT,2021-09-19 01:27:18
192,fallon,39.4735,-118.7774,80.47,15,20,23.02,US,2021-09-19 01:27:18
193,saint pete beach,27.7253,-82.7412,81.07,78,100,7.45,US,2021-09-19 01:27:18
194,colares,38.7992,-9.4469,64.08,70,5,22.08,PT,2021-09-19 01:20:27
195,cidreira,-30.1811,-50.2056,64.04,96,16,5.01,BR,2021-09-19 01:20:32
196,tarko-sale,64.9225,77.785,38.48,89,100,17.38,RU,2021-09-19 01:27:18
197,tuatapere,-46.1333,167.6833,48.81,73,100,9.22,NZ,2021-09-19 01:19:42
198,arlit,18.7369,7.3853,90.68,10,0,4.36,NE,2021-09-19 01:23:29
199,gaoua,10.2992,-3.2508,74.19,82,62,4.94,BF,2021-09-19 01:27:19
200,kudat,6.8837,116.8477,84.13,74,20,2.3,MY,2021-09-19 01:27:19
201,torbay,47.6666,-52.7314,62.38,92,90,17.27,CA,2021-09-19 01:20:13
202,tiksi,71.6872,128.8694,34.59,75,100,18.01,RU,2021-09-19 01:19:51
203,guymon,36.6828,-101.4816,84.2,39,1,11.5,US,2021-09-19 01:27:19
204,puerto rico,-26.796,-55.024,71.53,90,12,2.42,AR,2021-09-19 01:27:19
205,general roca,-39.0333,-67.5833,52.2,27,8,9.62,AR,2021-09-19 01:26:02
206,nalut,30.3333,10.85,78.75,18,0,11.95,LY,2021-09-19 01:27:20
207,portree,57.4129,-6.1942,57.85,89,87,5.46,GB,2021-09-19 01:27:20
208,gornopravdinsk,60.05,69.9,33.87,98,100,10.76,RU,2021-09-19 01:27:20
209,bambous virieux,-20.3428,57.7575,68.25,94,75,5.75,MU,2021-09-19 01:20:00
